1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Totaal bekende CO2-uitstoot (gas, elektr., warmte, voertuigbrandstoffen) [ton]",,,,,,,,,,,,147236800,142341900,143321300,146484400,141863600,145544900,142664500,140528800,138735900
Totaal bekende CO2-uitstoot exclusief CO2-uitstoot auto(snel)wegen [ton],,,,,,,,,,,,132113600,127202300,128372400,131726300,127296200,130955500,127707600,125569700,124326500
"CO2-uitstoot Gebouwde Omgeving (gas, elektr. en warmte, tier 3/tier 2) [ton]",,,,,,,,,,,,56683958,52918148,54747296,55051313,53463436,55084425,52502637,50327708,49371721
"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen, excl. elektr. railverkeer (scope 1, tier 1) [ton]",37910370,38711940,39087928,39463916,39839903,40215891,40591879,40437886,40283894,40129901,39975908,39821916,40102685,39945980,39789290,39632606,39684686,39962083,40193494,40440334
"CO2-uitstoot Industrie, Energie, Afval en Water (gas en elektr., tier 3) [ton]",,,,,,,,,,,,39403582,39183158,38209965,41232492,39333073,40768834,40304720,40094873,39224664
"CO2-uitstoot Landbouw, bosbouw en visserij, SBI A (gas, elektr., tier 3) [ton]",,,,,,,,,,,,11327316,10137878,10418033,10411314,9434509,10006984,9895078,9912687,9699176
CO2-uitstoot Bedrijven en instellingen excl. gasgebruik energieproductie (gas en elektriciteit) [ton],,,,,,,,,,,,77003127,72821501,73879871,77266366,72900389,76827875,74798781,73347786,71559585
"CO2-uitstoot Woningen, temperatuurgecorrigeerd (sjv gas en elektr., tier 3 en warmte, tier 2) [ton]",,,,,,31866789,,31626899,,30685585,30762551,30411730,29417688,29495424,29428756,29330632,29032368,27903658,26987487,26735975
CO2-uitstoot t.g.v. gasverbruik [ton],,,,,,,,,,,,61505726,57642177,57682734,58830713,53638101,54543238,54245168,55544872,55177041
CO2-uitstoot t.g.v. elektriciteitsgebruik [ton],,,,,,,,,,,,45440771,44133158,45181378,47380661,48113948,50775914,47914998,44252168,42587248
