1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Totaal bekende CO2-uitstoot (gas, elektr., warmte, voertuigbrandstoffen) [ton]",,,,,,,,,,
Totaal bekende CO2-uitstoot exclusief CO2-uitstoot auto(snel)wegen [ton],,,,,,,,,,
"CO2-uitstoot Gebouwde Omgeving (gas, elektr. en warmte, tier 3/tier 2) [ton]",,,,,,,,,,
"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen, excl. elektr. railverkeer (scope 1, tier 1) [ton]",32657895,33067134,33476372,33885611,34294849,34704087,35505658,36307229,37108799,37910370
"CO2-uitstoot Industrie, Energie, Afval en Water (gas en elektr., tier 3) [ton]",,,,,,,,,,
"CO2-uitstoot Landbouw, bosbouw en visserij, SBI A (gas, elektr., tier 3) [ton]",,,,,,,,,,
CO2-uitstoot Bedrijven en instellingen excl. gasgebruik energieproductie (gas en elektriciteit) [ton],,,,,,,,,,
"CO2-uitstoot Woningen, temperatuurgecorrigeerd (sjv gas en elektr., tier 3 en warmte, tier 2) [ton]",,,,,,,,,,
CO2-uitstoot t.g.v. gasverbruik [ton],,,,,,,,,,
CO2-uitstoot t.g.v. elektriciteitsgebruik [ton],,,,,,,,,,
Totale CO2-uitstoot volgens Emissieregistratie (alle emissieoorzaken) [ton],169770964,,,,,180426624,,,,
Totale CO2-uitstoot excl. opwekking elektriciteit volgens ER (alle emissieoorzaken) [ton],129956495,,,,,137634718,,,,
Uitstoot Drinkwatervoorziening - CO2 [ton],14541,,,,,14144,,,,
Uitstoot Consumenten - CO2 [ton],22392114,,,,,25068108,,,,
"Uitstoot Handel, Diensten en Overheid (HDO) - CO2 [ton]",8274681,,,,,9614931,,,,
Uitstoot RWZI - CO2 [ton],627986,,,,,737377,,,,
Uitstoot Consumenten - Energiegebruik Consumenten - CO2 [ton],20693799,,,,,23295676,,,,
Uitstoot Consumenten - Indirecte emissies broeikasgassen Consumenten - CO2 [ton],85168,,,,,87858,,,,
Uitstoot Consumenten - Productgebruik Consumenten - CO2 [ton],1613147,,,,,1684574,,,,
Uitstoot Drinkwatervoorziening - Drinkwaterbedrijven - CO2 [ton],14541,,,,,14144,,,,
"Uitstoot Handel, Diensten en Overheid (HDO) - Energiegebruik en processen - CO2 [ton]",8156122,,,,,9539006,,,,
