Year,pop,biofuels_cons_ej,biofuels_prod_pj,biogeo_ej,co2_mtco2,coalcons_ej,elect_twh,electbyfuel_coal,electbyfuel_gas,electbyfuel_oil,gascons_ej,gasprod_ej,gasreserves_tcm,hydro_ej,liqcons_kbd,nuclear_ej,oilcons_ej,primary_ej,primary_gj_pc,refcap_kbd,refthru_kbd,ren_power_ej,renewables_ej,solar_ej,wind_ej
1990,14.965442000000001,0.0,0.0,0.0067,191.8724054,0.366,71.892,27.499000000000002,36.529,3.0639999999999996,1.325,2.283,1.86763844,0.00085,750.7716987000001,0.035019999999999996,1.542671307,3.276801307,218.9578702,1207.0,994.4500548000001,0.007259999999999999,0.007259999999999999,0.0,0.00056
1991,15.064522,0.0,0.0,0.0075,199.6080455,0.337,74.282,25.241999999999997,41.015,3.304,1.4785,2.5812,1.84377368,0.0010400000000000001,711.5717384,0.03329,1.480859128,3.339069128,221.6511833,1225.0,1071.103781,0.00838,0.00838,0.0,0.00088
1992,15.165856,0.0,0.0,0.007520000000000001,200.0990496,0.336,77.23100000000001,25.215999999999998,43.461999999999996,3.155,1.4397,2.5922,1.82167668,0.0012,756.1810706,0.038,1.554810639,3.378710639,222.78403799999998,1254.0,1106.769918,0.009000000000000001,0.009000000000000001,1e-05,0.00147
1993,15.268004999999999,0.0,0.0,0.00863,204.98494330000003,0.33899999999999997,76.992,24.248,44.121,3.0260000000000002,1.4807,2.6424,1.7765988000000001,0.0009199999999999999,744.8783523,0.03948,1.536289359,3.4067693589999997,223.13127090000003,1197.0,1123.096575,0.01038,0.01038,1e-05,0.0017399999999999998
1994,15.369121,0.0,0.0,0.00939,202.21452480000002,0.361,79.67699999999999,27.006999999999998,43.541000000000004,3.3310000000000004,1.43,2.5066,1.76510836,0.001,740.91229,0.03967,1.52659954,3.37003964,219.27341459999997,1197.0,1121.630575,0.0117701,0.0117701,1e-07,0.00238
1995,15.467851999999999,0.0,0.0,0.01017,208.58945390000002,0.373,81.063,30.022,42.011,2.8139999999999996,1.4689,2.5482,1.72533376,0.00088,783.6801022000001,0.04018,1.610909308,3.5072193080000003,226.742492,1257.0,1197.762164,0.01335,0.01335,1e-05,0.00317
1996,15.563251999999999,0.0,0.0,0.01316,219.5564747,0.36,85.234,28.453000000000003,47.075,2.824,1.6279,2.8839,1.7058883999999999,0.0008,778.3985353999999,0.0416,1.61055553,3.65840553,235.06690830000002,1234.0,1221.065847,0.01755,0.01755,2e-05,0.004370000000000001
1997,15.655482000000001,3.47e-18,0.0,0.01463,217.2373535,0.35,86.65899999999999,27.362,50.661,2.823,1.5253,2.5542,1.72091436,0.0009199999999999999,810.8683112000001,0.02408,1.6730942919999998,3.592794292,229.4911324,1261.0,1219.450932,0.0194,0.0194,2e-05,0.00475
1998,15.74565,0.0,0.0,0.01590281,218.0649765,0.35700000000000004,92.006273,25.78245,52.126126,3.013,1.5062,2.4364,1.67318484,0.0011231,820.3838567,0.03809091,1.692960496,3.6177123160000004,229.7594775,1261.0,1245.316795,0.02233781,0.02233781,3.5e-05,0.0064
1999,15.835525,0.0,0.0,0.01788338,215.10912940000003,0.313,87.617304,20.809658,52.581516,2.781,1.4716,2.2656,1.62280368,0.00090249,840.4457322999999,0.03828213,1.7254567809999999,3.5736274810000004,225.67155060000002,1277.0,1172.277863,0.02438608,0.02438608,5.27e-05,0.00645
2000,15.926188,0.0,0.0,0.02013194,216.2004301,0.325,90.180577,23.428151,52.492704,2.641,1.4757,2.209,1.57065476,0.00142393,844.7106177999999,0.03919208,1.7502569140000002,3.6200719639999996,227.30310380000003,1277.0,1173.581066,0.02849904,0.02849904,7.709999999999999e-05,0.00829
2001,16.018112,0.0,0.0,0.023427221,225.90713849999997,0.34600000000000003,94.07242600000001,24.910476,54.408072,2.6460000000000004,1.5055,2.3273,1.53618344,0.001165622,886.2307447000001,0.039467751,1.834986997,3.758873771,234.663971,1278.0,1179.708274,0.031753401,0.031753401,0.00012975200000000001,0.008196429
2002,16.110355,0.0,0.0,0.028692455,225.96112340000002,0.348,95.082892,24.954185,55.132205000000006,2.363,1.4903,2.2867,1.49287332,0.001082213,898.1611368999999,0.038630427,1.843383125,3.7595943569999997,233.3650846,1281.5,1074.337014,0.038198592,0.038198592,0.00016820099999999998,0.009337935
2003,16.200948,0.0,0.0,0.02498543,225.43817400000003,0.36,98.140305,25.881089000000003,56.172989,2.4930000000000003,1.5006,2.1858,1.4274662,0.0007063789999999999,901.0201483999999,0.039407199999999996,1.846110214,3.78503725,233.6306029,1281.5,1134.985233,0.038213457,0.038213457,0.000301488,0.012926538000000001
